Improvement action,Points achieved,Regulations,Group,Solutions,Assessments,Categories,Test status
Enable self-service password reset,0/27,"ISO 27001, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001",Control access,Failed high risk
Create mail flow rules to encrypt messages,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Automatically apply Client Side Sensitivity Labels,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Conceal information with lock screen,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Windows 10,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Use IRM for Exchange Online,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Use IRM for OneDrive for Business,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Implement DMARC for outbound mail,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Set up Sender Policy Framework to prevent spoofing,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use boundary protection devices for unclassified non-national security systems,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, NIST 800-53",Manage compliance,None
Apply sensitivity labels to protect ePHI,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Configure machine inactivity limit,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Windows 10,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Set up Office 365 ATP anti-phishing policies,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Apply sensitivity labels to protect financial data,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Implement anti-malware policies,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Apply sensitivity labels to protect sensitive or critical data,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Turn on sign-in risk policy,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,Failed high risk
Turn on user risk policy,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, NIST 800-53",Control access,Failed high risk
"Turn on Office 365 ATP safe attachments for SharePoint, OneDrive and Microsoft Teams policy",0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Implement spam filter,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Implement connection filter,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Declare data as records by creating & publishing a record label,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Records management,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Govern information,None
Require mobile devices to use encryption,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Use attack simulator,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Retain terminated user data using event-driven retention,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Records management,"Data Protection Baseline, NIST 800-53",Govern information,None
Use role-based privileged account management for M365 accounts,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Use S/MIME,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, NIST 800-53",Protect information,None
Retain training records,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Records management,"Data Protection Baseline, ISO 27001, NIST 800-53",Govern information,None
Manage Microsoft 365 Accounts,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Assign roles to Intune users,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, NIST 800-53",Manage devices,None
Use Intune data protection features,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Designate more than one global admin,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,Failed high risk
Ensure sufficient strength for authenticators,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enable multi-factor authentication for admins,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,Failed high risk
Protect data at rest with customer key,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Security & compliance center,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Enable multi-factor authentication for non-admins,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,Failed high risk
Create a device configuration profile for Android devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Verify mailbox auditing is enabled,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, NIST 800-53",Protect information,None
Use automated tools to determine password strength,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Enable DomainKeys Identified Mail,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Enable policy to block legacy authentication,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,Failed high risk
Schedule scans with Microsoft Defender ATP for Mac,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Create service side labeling policies,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Migrate Azure Information Protection labels to unified sensitivity labels,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Deploy updates for Microsoft Defender ATP for Linux,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Enable customer lockbox,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,Failed high risk
Enable Communication Compliance in O365,0/27,Data Protection Baseline,Default Group,Communication compliance,Data Protection Baseline,Manage internal risks,None
Use Azure Hold Your Own Key Protection,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Use default DLP policies for US personally identifiable information data,0/27,Data Protection Baseline,Default Group,Data loss prevention,Data Protection Baseline,Protect information,None
Protect data at rest with service encryption,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Protect important folders with controlled folder access,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Create a custom audit log retention policy,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, ISO 27001, NIST 800-53",Discover and respond,None
Use Privileged Identity Management in Azure Active Directory,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Configure a privileged access policy,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Automatically apply record labels,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Records management,"Data Protection Baseline, ISO 27001, NIST 800-53",Govern information,None
Configure and manage capabilities for Microsoft Threat Experts,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Enable automated investigation and remediation in Microsoft Defender ATP,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Control your Azure Information Protection tenant key,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Use sensitivity labels for container-level classification,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Configure Microsoft Defender Antivirus network connections,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use sensitivity labels to prioritize incident response in Microsoft Defender ATP,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Configure Microsoft Defender ATP for Android,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Enable endpoint detection and response in block mode,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
View and configure Windows diagnostic data,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Windows 10,"Data Protection Baseline, NIST 800-53",Manage devices,None
Configure Microsoft Defender ATP for Linux,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Configure Microsoft Defender ATP for Mac,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Consult a threat expert,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Enable Privileged Access Management in Office 365,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Control applications with application control,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use SharePoint Online to store sensitive files,0/27,"EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, EU GDPR, NIST 800-53",Protect information,None
Review access requests in Privileged Access Management,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Restrict access to Microsoft 365 audit information,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Create a sensitive information type policy using Office 365 Message Encryption,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Review access requests in Privileged Identity Management,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Create and manage alerts in Microsoft Defender ATP,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Review and investigate insider risk management alerts,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Insider risk management,"Data Protection Baseline, NIST 800-53",Manage internal risks,None
Retain terminated user data manually,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, NIST 800-53",Control access,None
Create and manage device tags and groups in Microsoft Defender ATP,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Implement account lockout,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Create customized or use built-in trainable classifiers,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Data classification,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Enforce immediate temporary password change,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Use password hash sync in hybrid environments,0/27,"ISO 27001, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001",Control access,Failed high risk
Create a Windows 10 app protection policy,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Enable controlled folder access,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Activate Azure Rights Management,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Apply sensitivity labels to protect personal data,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Create a sharing policy in Exchange,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Create customized DLP policies for company sensitive information,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Data loss prevention,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Create customized DLP policies for personally identifiable information,0/27,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Data loss prevention,"Data Protection Baseline, EU GDPR, ISO 27001",Protect information,None
Create customized DLP policies for personal data,0/27,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Data loss prevention,"Data Protection Baseline, EU GDPR, ISO 27001",Protect information,None
Create customized or use default DLP policies for Endpoints,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Information Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Provide privacy notice using Azure Active Directory,0/27,"EU GDPR, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, EU GDPR",Control access,None
Restrict access to content by turning on encryption in sensitivity labels,0/27,"ISO 27001, EU GDPR, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, EU GDPR, ISO 27001, NIST 800-53",Protect information,None
Store user documents in OneDrive for Business,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,OneDrive for Business,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Use Azure Active Directory Terms of Use,0/27,Data Protection Baseline,Default Group,Azure Active Directory,Data Protection Baseline,Control access,None
Use anonymization in Cloud App Security,0/27,"ISO 27001, EU GDPR, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, EU GDPR, ISO 27001",Discover and respond,None
Create a compliance policy for Android enterprise devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create a compliance policy for iOs devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create a compliance policy for macOS devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
